N;F0;PER;d0;v0;collision
8;-8;0.400000;4502000;28;0
5;-4;0.400000;4119000;46;0
4;-7;0.330000;8843000;67;0
6;-7;0.330000;8434000;45;1
7;-4;0.360000;4174000;40;1
6;-5;0.280000;7620000;73;0
3;-4;0.360000;5889000;36;0
7;-4;0.250000;6493000;56;0
6;-6;0.210000;4248000;61;0
6;-5;0.410000;4459000;45;0
5;-6;0.390000;8141000;17;0
4;-5;0.410000;6166000;41;0
5;-4;0.430000;6671000;25;0
7;-3;0.480000;5850000;27;0
5;-6;0.460000;7259000;10;0
3;-8;0.410000;5392000;77;0
8;-2;0.460000;8964000;86;0
5;-7;0.220000;8844000;16;0
5;-6;0.310000;5947000;73;0
5;-8;0.270000;4082000;60;0
8;-3;0.230000;7279000;48;0
6;-3;0.450000;5701000;28;1
3;-4;0.430000;6506000;57;0
7;-8;0.490000;8457000;32;0
3;-3;0.430000;5694000;53;0
6;-5;0.430000;8000000;82;0
8;-6;0.300000;6887000;51;0
6;-5;0.390000;7694000;54;0
4;-3;0.370000;8491000;44;0
3;-1;0.220000;4716000;10;0
8;-4;0.380000;7910000;51;0
6;-3;0.420000;5846000;66;0
7;-6;0.380000;8630000;32;0
5;-5;0.360000;6739000;11;0
8;-7;0.280000;5364000;14;0
3;-4;0.350000;7736000;51;0
8;-4;0.240000;8330000;70;0
3;-6;0.240000;5647000;20;0
7;-8;0.310000;5304000;46;0
8;-5;0.220000;6632000;20;0
7;-8;0.490000;8815000;60;0
3;-2;0.220000;5245000;63;0
6;-1;0.470000;4611000;89;0
7;-8;0.400000;8918000;87;0
5;-7;0.490000;4350000;29;0
8;-2;0.450000;7504000;17;0
6;-2;0.410000;5094000;11;0
4;-2;0.300000;7783000;88;0
3;-3;0.240000;4432000;76;0
6;-7;0.300000;8901000;11;0
7;-2;0.370000;8189000;55;0
3;-1;0.310000;5433000;76;0
8;-5;0.200000;8510000;55;0
7;-7;0.200000;8320000;84;0
4;-2;0.220000;6351000;69;0
6;-6;0.350000;6477000;84;0
8;-3;0.350000;6072000;62;0
4;-6;0.420000;7669000;15;0
6;-6;0.380000;4864000;68;0
4;-4;0.250000;4141000;19;0
5;-2;0.380000;4067000;64;0
5;-2;0.430000;8244000;26;0
7;-3;0.300000;5024000;17;0
4;-1;0.480000;6604000;24;0
6;-2;0.280000;5213000;53;0
8;-8;0.480000;5414000;77;1
6;-7;0.330000;6678000;44;1
3;-6;0.250000;7408000;26;0
8;-7;0.290000;6361000;57;0
6;-4;0.250000;4313000;33;0
6;-2;0.490000;6157000;58;0
6;-6;0.270000;7344000;17;0
5;-2;0.470000;5043000;41;0
5;-7;0.460000;6932000;88;1
5;-4;0.430000;7428000;24;0
6;-7;0.470000;4063000;66;1
7;-6;0.320000;5323000;33;0
5;-1;0.260000;7566000;14;0
6;-4;0.450000;4865000;56;0
6;-4;0.230000;8544000;54;0
5;-3;0.430000;8735000;78;0
8;-6;0.280000;4998000;85;0
6;-7;0.280000;4808000;34;0
7;-3;0.480000;7522000;58;1
7;-7;0.220000;6639000;73;0
3;-8;0.200000;5332000;84;0
7;-4;0.480000;6135000;61;0
3;-7;0.220000;7977000;47;0
6;-3;0.220000;7594000;25;0
3;-5;0.360000;6743000;26;0
3;-3;0.360000;6553000;55;0
8;-7;0.370000;5783000;51;1
5;-4;0.410000;4713000;42;0
7;-6;0.480000;6906000;68;0
6;-2;0.410000;8337000;45;0
4;-2;0.370000;5913000;79;0
4;-7;0.200000;8566000;68;0
5;-5;0.420000;4698000;59;0
3;-8;0.290000;6646000;20;0
6;-4;0.270000;5534000;43;0
7;-5;0.450000;7281000;38;1
5;-4;0.430000;7469000;74;0
8;-5;0.200000;7760000;27;0
4;-8;0.240000;8607000;64;0
5;-3;0.360000;5348000;35;0
5;-7;0.420000;5196000;31;0
5;-7;0.420000;4795000;49;0
5;-3;0.350000;7043000;30;0
7;-4;0.250000;7463000;39;0
5;-3;0.440000;4746000;41;0
6;-3;0.490000;8880000;42;0
5;-6;0.320000;4222000;83;0
8;-8;0.370000;5708000;74;0
8;-3;0.450000;6478000;37;0
4;-3;0.490000;5221000;56;0
3;-3;0.270000;8890000;14;0
4;-6;0.210000;6152000;76;0
6;-2;0.470000;8715000;17;0
3;-2;0.260000;4910000;16;0
5;-3;0.410000;5761000;27;0
8;-5;0.440000;8028000;88;1
3;-8;0.390000;6163000;35;0
3;-8;0.280000;6738000;54;0
7;-8;0.350000;5835000;47;0
4;-3;0.270000;4058000;68;0
4;-8;0.310000;5520000;19;0
7;-4;0.320000;7263000;15;0
3;-4;0.320000;6852000;73;0
3;-8;0.230000;5269000;26;0
8;-7;0.260000;8299000;10;0
7;-6;0.340000;6582000;53;0
4;-7;0.390000;5552000;84;1
5;-4;0.340000;6006000;60;0
5;-7;0.430000;8889000;82;0
3;-5;0.400000;7094000;29;0
5;-5;0.330000;6420000;68;0
3;-5;0.440000;5409000;67;1
5;-5;0.400000;8399000;83;0
4;-4;0.310000;5845000;21;0
7;-5;0.430000;7585000;31;0
5;-2;0.270000;8215000;84;0
6;-4;0.240000;8905000;32;0
3;-8;0.480000;5543000;46;0
4;-3;0.370000;8037000;73;0
3;-7;0.350000;4235000;84;0
6;-7;0.240000;4808000;63;0
3;-6;0.440000;5031000;47;0
3;-5;0.220000;8510000;75;0
5;-2;0.420000;8137000;66;0
6;-2;0.480000;5092000;81;0
6;-6;0.270000;8796000;80;0
4;-1;0.420000;4443000;40;0
8;-3;0.310000;4844000;88;0
8;-6;0.440000;4772000;13;0
6;-2;0.300000;7563000;45;0
6;-1;0.280000;6454000;28;0
4;-8;0.470000;4145000;12;0
5;-1;0.280000;6040000;85;0
4;-7;0.450000;4745000;70;0
4;-8;0.400000;6008000;36;0
5;-5;0.410000;4222000;32;0
7;-2;0.330000;8019000;86;0
5;-2;0.270000;5288000;67;0
8;-8;0.220000;5935000;15;0
8;-6;0.220000;8245000;44;0
6;-3;0.420000;8240000;17;0
3;-3;0.210000;6946000;15;0
4;-5;0.340000;8992000;79;0
4;-4;0.290000;4251000;44;0
7;-6;0.300000;4072000;73;0
5;-2;0.230000;6292000;14;0
6;-1;0.240000;8434000;32;0
8;-3;0.340000;5117000;41;0
4;-7;0.340000;4720000;59;1
4;-8;0.320000;6304000;13;0
8;-5;0.240000;7245000;86;0
7;-2;0.480000;8866000;20;0
4;-5;0.370000;4088000;58;0
5;-3;0.310000;8248000;86;0
6;-5;0.260000;6370000;73;0
7;-4;0.460000;6558000;17;0
3;-5;0.480000;4823000;13;0
4;-3;0.330000;6061000;59;0
3;-7;0.290000;6537000;35;0
7;-6;0.420000;8987000;41;0
4;-3;0.440000;4291000;54;0
7;-1;0.230000;5306000;41;0
8;-8;0.490000;7870000;63;1
6;-2;0.210000;5685000;89;0
3;-5;0.410000;8410000;73;0
3;-8;0.390000;7298000;56;0
8;-8;0.410000;5494000;11;0
6;-3;0.300000;5920000;60;0
6;-2;0.490000;6080000;43;0
7;-2;0.280000;7299000;42;0
7;-1;0.260000;8672000;25;0
7;-6;0.420000;7574000;86;0
8;-3;0.440000;5798000;41;0
6;-6;0.210000;5875000;63;0
8;-6;0.450000;6729000;33;0
5;-2;0.450000;6334000;51;0
5;-4;0.410000;7003000;39;0
8;-8;0.450000;8647000;80;0
8;-1;0.320000;7519000;49;0
5;-8;0.410000;5828000;53;0
5;-4;0.450000;7441000;14;0
3;-2;0.340000;7854000;62;0
7;-4;0.370000;8405000;87;0
4;-5;0.430000;5749000;84;0
4;-4;0.370000;7999000;25;0
3;-8;0.310000;5271000;86;0
8;-5;0.220000;6573000;21;0
8;-3;0.220000;8879000;10;0
8;-2;0.200000;7375000;10;0
7;-5;0.250000;6105000;30;0
6;-6;0.300000;6035000;53;0
6;-4;0.360000;5682000;79;0
7;-8;0.320000;8629000;55;0
4;-4;0.260000;8386000;36;0
5;-2;0.260000;4896000;21;0
3;-8;0.220000;5545000;48;0
6;-2;0.220000;7464000;15;0
6;-8;0.220000;4785000;84;0
8;-3;0.310000;8071000;88;0
4;-7;0.380000;7944000;45;0
5;-7;0.220000;8598000;18;0
3;-4;0.400000;7876000;76;0
8;-8;0.320000;6322000;29;0
8;-7;0.400000;4572000;71;0
6;-5;0.380000;5796000;44;0
4;-8;0.490000;7302000;42;0
6;-8;0.490000;6901000;20;0
6;-5;0.270000;8084000;18;0
8;-4;0.470000;5777000;43;0
7;-2;0.370000;6191000;11;0
8;-8;0.340000;7563000;33;0
4;-4;0.430000;5874000;37;0
7;-7;0.420000;6896000;78;0
8;-8;0.350000;8519000;26;0
4;-3;0.420000;8185000;12;0
5;-7;0.380000;6169000;68;0
8;-2;0.250000;5229000;48;0
6;-4;0.250000;7563000;37;0
6;-5;0.360000;8473000;83;0
6;-4;0.490000;8022000;26;0
4;-8;0.280000;6733000;65;0
7;-8;0.450000;5590000;20;0
6;-7;0.260000;4816000;43;0
6;-3;0.440000;8723000;39;0
7;-8;0.200000;8962000;31;0
3;-6;0.410000;6781000;57;0
3;-1;0.400000;8185000;40;0
6;-4;0.480000;8560000;61;1
5;-3;0.290000;5662000;66;0
6;-5;0.250000;6367000;54;0
5;-3;0.290000;5289000;44;0
4;-2;0.250000;5942000;71;0
7;-2;0.380000;6101000;48;0
4;-4;0.320000;5641000;18;0
4;-7;0.400000;8907000;61;0
4;-5;0.470000;6093000;47;0
4;-3;0.260000;4614000;75;0
6;-4;0.380000;4677000;10;0
6;-3;0.480000;5133000;72;0
7;-3;0.260000;8798000;31;0
5;-8;0.200000;8359000;41;0
7;-7;0.280000;8768000;22;0
6;-4;0.420000;6001000;16;0
7;-3;0.390000;7378000;39;0
3;-3;0.330000;7106000;20;0
5;-5;0.400000;4301000;86;1
5;-6;0.330000;8832000;56;0
3;-8;0.440000;5132000;43;0
3;-5;0.210000;7531000;14;0
4;-4;0.300000;7930000;35;0
6;-7;0.490000;7727000;77;1
8;-4;0.340000;6263000;32;0
7;-3;0.210000;5756000;34;0
5;-4;0.410000;5789000;88;1
6;-3;0.210000;7871000;52;0
5;-8;0.210000;5162000;81;0
4;-3;0.350000;4722000;65;0
3;-4;0.370000;7940000;20;0
6;-7;0.300000;4776000;59;0
6;-7;0.260000;7752000;35;0
6;-7;0.460000;7960000;59;0
8;-6;0.330000;4928000;21;0
3;-1;0.420000;5740000;65;0
3;-6;0.360000;5277000;35;0
3;-8;0.400000;8827000;83;0
4;-3;0.210000;5945000;48;0
6;-5;0.310000;5142000;58;0
6;-2;0.470000;5629000;48;0
5;-2;0.360000;8317000;45;0
3;-4;0.320000;6480000;72;0
3;-7;0.350000;4149000;75;0
5;-7;0.230000;7189000;53;0
3;-7;0.260000;7559000;67;0
5;-8;0.440000;6834000;45;0
8;-7;0.480000;5966000;86;1
3;-3;0.200000;6894000;66;0
3;-8;0.200000;5902000;51;0
7;-7;0.490000;4014000;57;0
3;-2;0.290000;5717000;39;0
8;-7;0.300000;7251000;24;0
6;-6;0.380000;5537000;68;0
8;-2;0.250000;7516000;70;0
3;-4;0.260000;4829000;59;0
3;-2;0.490000;4161000;44;0
4;-6;0.390000;4755000;23;0
8;-8;0.490000;6047000;11;0
4;-4;0.220000;4110000;49;0
6;-3;0.430000;5024000;68;0
7;-8;0.420000;5452000;36;0
5;-1;0.440000;8677000;32;0
4;-3;0.400000;6821000;19;0
3;-7;0.330000;8652000;57;0
5;-7;0.230000;4287000;37;0
6;-8;0.230000;4082000;66;0
3;-8;0.420000;6770000;50;0
5;-8;0.310000;7350000;69;0
5;-3;0.470000;4724000;25;0
8;-8;0.450000;5917000;77;0
8;-8;0.450000;8022000;15;0
7;-4;0.230000;8428000;50;0
4;-7;0.240000;5552000;68;0
6;-8;0.370000;5703000;44;0
8;-4;0.310000;4651000;61;0
5;-6;0.330000;7657000;45;0
6;-5;0.290000;5825000;73;0
8;-5;0.400000;4846000;71;0
6;-4;0.480000;5629000;75;1
7;-2;0.310000;8262000;24;0
6;-5;0.250000;7621000;23;0
4;-8;0.290000;6370000;82;0
3;-3;0.320000;4403000;67;0
4;-3;0.210000;4985000;86;0
4;-7;0.340000;5140000;22;0
6;-5;0.380000;6559000;53;0
5;-5;0.340000;7033000;29;0
3;-8;0.300000;4814000;35;0
3;-4;0.300000;6121000;88;0
3;-3;0.240000;5866000;69;0
7;-6;0.220000;4368000;30;0
3;-2;0.380000;5029000;31;0
5;-5;0.270000;5627000;10;0
7;-6;0.340000;8009000;47;0
5;-5;0.270000;7730000;28;0
6;-1;0.200000;4973000;49;0
7;-4;0.230000;5106000;11;0
4;-6;0.410000;4203000;18;0
5;-7;0.450000;5252000;67;0
7;-5;0.410000;5909000;54;0
5;-5;0.280000;5408000;16;0
7;-3;0.230000;8545000;43;0
7;-8;0.430000;6013000;16;0
6;-7;0.480000;7324000;36;0
8;-4;0.390000;6129000;51;0
8;-6;0.320000;7749000;78;0
3;-5;0.420000;6059000;82;0
4;-4;0.220000;5278000;65;0
4;-2;0.330000;6972000;74;0
3;-1;0.260000;8809000;73;0
4;-5;0.220000;6798000;10;0
3;-1;0.330000;7908000;66;0
5;-5;0.230000;8509000;46;0
5;-1;0.440000;4429000;25;0
4;-6;0.380000;6491000;75;0
6;-2;0.210000;8902000;53;0
3;-8;0.410000;5443000;12;0
4;-2;0.220000;7385000;46;0
4;-4;0.460000;6694000;71;0
8;-8;0.200000;5447000;64;0
3;-4;0.370000;6434000;37;0
3;-8;0.440000;8429000;53;0
8;-6;0.200000;6184000;45;0
4;-4;0.210000;6038000;34;0
4;-2;0.420000;4623000;24;0
7;-3;0.450000;7849000;60;0
7;-3;0.470000;5674000;73;0
3;-1;0.470000;5466000;62;0
4;-6;0.300000;5631000;12;0
3;-8;0.450000;8589000;41;0
4;-5;0.460000;6053000;58;0
6;-6;0.490000;6392000;71;1
5;-4;0.270000;7356000;58;0
6;-6;0.230000;5544000;86;0
7;-5;0.420000;8240000;70;0
8;-4;0.270000;4090000;14;0
4;-5;0.270000;6375000;43;0
6;-3;0.490000;7514000;74;0
8;-7;0.280000;8702000;33;0
3;-7;0.210000;5126000;89;0
3;-2;0.310000;5968000;13;0
7;-6;0.330000;5508000;62;0
6;-1;0.310000;6093000;81;0
6;-2;0.440000;7948000;53;0
6;-6;0.220000;6622000;51;0
7;-8;0.420000;4329000;35;0
6;-8;0.320000;6651000;51;0
6;-5;0.380000;6521000;48;0
4;-8;0.210000;6828000;88;0
4;-6;0.210000;4153000;37;0
8;-8;0.430000;7782000;28;0
4;-5;0.200000;4767000;16;0
8;-3;0.410000;8355000;86;0
3;-4;0.260000;4440000;42;0
5;-2;0.220000;4690000;47;0
6;-6;0.290000;5897000;58;0
6;-2;0.350000;8255000;55;0
7;-7;0.490000;5511000;49;0
7;-6;0.380000;5700000;86;1
6;-2;0.430000;7370000;89;0
6;-4;0.430000;7171000;37;0
8;-2;0.490000;6440000;81;0
3;-2;0.280000;4752000;18;0
4;-7;0.300000;7947000;53;0
6;-7;0.430000;8110000;69;0
3;-8;0.210000;4289000;28;0
6;-3;0.240000;6932000;70;0
7;-1;0.470000;6224000;15;0
6;-3;0.420000;5434000;84;0
5;-4;0.460000;6447000;52;0
6;-8;0.320000;7550000;48;0
4;-5;0.400000;7738000;18;0
7;-3;0.360000;7613000;82;0
3;-5;0.210000;8468000;66;0
5;-2;0.490000;4655000;25;0
6;-4;0.490000;4465000;14;0
4;-7;0.270000;5631000;12;0
4;-3;0.300000;8679000;37;0
4;-8;0.430000;5309000;38;0
8;-4;0.420000;5165000;53;0
4;-2;0.230000;6887000;35;0
4;-4;0.440000;5484000;26;0
3;-7;0.310000;7039000;85;0
4;-6;0.400000;4969000;27;0
4;-4;0.340000;4515000;37;0
7;-3;0.280000;5980000;14;0
5;-3;0.210000;5696000;75;0
4;-2;0.370000;6368000;36;0
8;-1;0.460000;7182000;79;0
8;-8;0.290000;4235000;75;1
8;-5;0.460000;8091000;71;1
7;-5;0.260000;4978000;24;0
5;-5;0.270000;4611000;43;0
6;-6;0.440000;8896000;60;0
8;-2;0.400000;8567000;32;0
4;-8;0.470000;5764000;19;0
6;-4;0.470000;7871000;77;1
7;-7;0.340000;4809000;78;0
8;-7;0.280000;7095000;20;0
4;-2;0.260000;5164000;78;0
6;-6;0.400000;7834000;15;0
7;-4;0.290000;5723000;23;0
3;-8;0.220000;7927000;83;0
7;-7;0.310000;8345000;65;0
5;-4;0.220000;4278000;18;0
5;-3;0.230000;6391000;76;0
8;-3;0.380000;6662000;54;0
6;-4;0.370000;7068000;62;0
6;-5;0.480000;8001000;28;0
3;-1;0.480000;7589000;85;0
7;-5;0.310000;5450000;86;0
5;-4;0.450000;6082000;86;0
5;-1;0.440000;4797000;58;0
4;-8;0.240000;4012000;81;0
8;-2;0.460000;5113000;31;0
6;-3;0.260000;4513000;25;0
6;-2;0.460000;4706000;89;0
8;-6;0.270000;8734000;21;0
4;-6;0.340000;5324000;14;0
4;-4;0.420000;5918000;86;0
8;-7;0.210000;7121000;85;0
3;-4;0.410000;6345000;14;0
4;-2;0.280000;6013000;67;0
3;-8;0.480000;6216000;11;0
3;-7;0.280000;5807000;16;0
7;-1;0.280000;4820000;41;0
8;-7;0.360000;7039000;27;0
4;-4;0.420000;6879000;64;0
5;-7;0.250000;8947000;60;0
4;-2;0.200000;4577000;47;0
6;-3;0.470000;4868000;40;0
3;-3;0.290000;7680000;80;0
7;-4;0.270000;5966000;69;0
5;-2;0.300000;6495000;14;0
3;-1;0.210000;7630000;17;0
4;-3;0.360000;8488000;29;0
8;-8;0.440000;5304000;33;0
6;-4;0.330000;5483000;30;0
6;-6;0.260000;7524000;80;0
7;-6;0.400000;4377000;52;0
4;-2;0.330000;6600000;33;0
5;-8;0.330000;8908000;62;0
7;-5;0.210000;8197000;53;0
5;-7;0.380000;4803000;60;0
4;-2;0.340000;7946000;87;0
5;-4;0.300000;8210000;53;0
3;-8;0.400000;4708000;51;0
8;-2;0.480000;6121000;74;1
4;-7;0.240000;6366000;25;0
4;-1;0.340000;5578000;35;0
3;-2;0.300000;8568000;52;0
5;-3;0.420000;4488000;57;0
7;-2;0.370000;7659000;45;0
7;-3;0.260000;7641000;71;0
6;-4;0.460000;5162000;44;0
6;-4;0.290000;7194000;80;0
3;-7;0.490000;4896000;64;1
3;-5;0.380000;5288000;73;0
8;-2;0.470000;5915000;65;0
6;-8;0.230000;7680000;42;0
7;-2;0.440000;5207000;56;0
4;-7;0.470000;4115000;86;0
7;-7;0.220000;5789000;21;0
8;-6;0.410000;5182000;41;0
4;-7;0.260000;6252000;76;0
5;-3;0.370000;7755000;35;0
7;-3;0.490000;4299000;34;0
6;-4;0.250000;6665000;84;0
7;-5;0.290000;8118000;35;0
7;-2;0.430000;7861000;29;0
6;-5;0.360000;7601000;10;0
5;-8;0.340000;8580000;50;0
8;-7;0.300000;6744000;38;0
4;-2;0.390000;7560000;42;0
6;-4;0.240000;5517000;44;0
7;-3;0.440000;8233000;28;0
8;-2;0.410000;4593000;11;0
7;-6;0.300000;7276000;88;0
4;-6;0.370000;4258000;23;0
6;-1;0.290000;7105000;22;0
3;-8;0.480000;7286000;46;0
8;-6;0.440000;5469000;74;0
7;-1;0.420000;6060000;12;0
7;-2;0.340000;7415000;68;0
8;-3;0.360000;4815000;58;0
5;-5;0.240000;8546000;57;0
8;-3;0.220000;4722000;68;0
4;-3;0.240000;7550000;41;0
7;-5;0.400000;5520000;71;0
6;-1;0.420000;8732000;66;0
3;-2;0.400000;4922000;38;0
3;-6;0.400000;4538000;56;0
3;-1;0.200000;6639000;20;0
5;-8;0.470000;8043000;56;0
5;-7;0.410000;5276000;37;0
4;-3;0.450000;4429000;39;0
5;-1;0.240000;4631000;62;0
7;-3;0.390000;7978000;33;0
6;-3;0.310000;4314000;88;0
3;-8;0.350000;5743000;39;0
5;-5;0.240000;6361000;18;0
6;-4;0.440000;8681000;61;0
7;-5;0.370000;8197000;70;0
3;-3;0.200000;7935000;77;0
4;-8;0.310000;6745000;65;0
7;-6;0.430000;8481000;75;1
4;-4;0.320000;6377000;83;0
8;-3;0.380000;5652000;87;0
8;-2;0.470000;8943000;11;0
4;-2;0.430000;8247000;81;0
7;-2;0.390000;6195000;17;0
3;-7;0.490000;8540000;86;1
3;-4;0.350000;8161000;58;0
6;-2;0.400000;4243000;67;0
8;-1;0.220000;4565000;67;0
7;-2;0.210000;7870000;57;0
5;-2;0.310000;6875000;15;0
7;-8;0.270000;7558000;83;0
8;-3;0.230000;7427000;26;0
7;-6;0.240000;4550000;84;0
4;-6;0.410000;8415000;40;0
4;-3;0.430000;4147000;75;0
4;-3;0.260000;4077000;13;0
8;-4;0.480000;5193000;44;0
4;-4;0.460000;6202000;85;0
3;-6;0.480000;6702000;69;1
8;-5;0.250000;4297000;50;0
3;-5;0.400000;7459000;10;0
3;-5;0.210000;6089000;80;0
7;-3;0.410000;8606000;54;0
5;-3;0.430000;8557000;45;0
8;-2;0.390000;6697000;32;0
8;-6;0.430000;4865000;19;0
3;-4;0.480000;7239000;81;0
5;-6;0.400000;5875000;86;0
3;-8;0.360000;4042000;33;0
6;-1;0.250000;7129000;12;0
4;-8;0.440000;7333000;76;0
5;-2;0.400000;7582000;81;0
3;-5;0.250000;8855000;88;0
7;-5;0.310000;8692000;85;0
5;-5;0.450000;8441000;39;0
6;-6;0.250000;4951000;10;0
6;-8;0.390000;4918000;16;0
4;-5;0.490000;8906000;54;0
6;-5;0.450000;4376000;71;1
3;-5;0.300000;7952000;27;0
7;-5;0.350000;4200000;86;0
5;-1;0.410000;6572000;43;0
3;-7;0.370000;4723000;70;0
5;-3;0.370000;4345000;89;0
6;-2;0.400000;4864000;33;0
7;-8;0.400000;4670000;62;0
8;-4;0.330000;6894000;82;0
3;-7;0.210000;8503000;23;0
7;-8;0.250000;6254000;67;0
7;-6;0.490000;5612000;13;0
7;-7;0.430000;6857000;59;1
8;-3;0.420000;7089000;56;1
8;-3;0.270000;7363000;48;0
5;-2;0.250000;5067000;44;0
7;-8;0.210000;8235000;71;0
5;-8;0.390000;4655000;28;0
3;-4;0.230000;8181000;63;0
6;-2;0.280000;6724000;31;0
5;-5;0.370000;5018000;75;0
4;-3;0.330000;8212000;22;0
5;-2;0.310000;6688000;63;0
4;-4;0.310000;6092000;30;0
4;-3;0.220000;6828000;11;0
4;-4;0.310000;7015000;62;0
8;-8;0.290000;8216000;33;0
7;-8;0.380000;4018000;77;0
3;-7;0.250000;5980000;79;0
5;-3;0.470000;6925000;18;0
6;-6;0.300000;7229000;58;0
8;-3;0.360000;4587000;15;0
4;-8;0.300000;4146000;65;0
7;-7;0.280000;5158000;26;0
8;-8;0.220000;4300000;14;0
4;-8;0.440000;7718000;33;0
8;-2;0.420000;8898000;85;1
7;-7;0.290000;6091000;58;0
5;-4;0.200000;6996000;50;0
6;-3;0.310000;6007000;49;0
3;-4;0.270000;8986000;66;0
8;-4;0.230000;6577000;60;0
3;-4;0.290000;8507000;35;0
4;-5;0.280000;6843000;25;0
6;-6;0.410000;4464000;81;1
7;-5;0.210000;6582000;86;0
8;-4;0.430000;7520000;25;0
6;-2;0.260000;6852000;10;0
4;-8;0.460000;4554000;74;0
5;-3;0.460000;6476000;42;0
6;-5;0.490000;6228000;62;1
6;-3;0.490000;6040000;11;0
3;-8;0.250000;6294000;43;0
8;-4;0.320000;8262000;18;0
4;-6;0.210000;8275000;44;0
7;-4;0.430000;4406000;75;1
6;-7;0.470000;8528000;76;1
3;-6;0.270000;5640000;81;0
5;-7;0.340000;5512000;78;0
7;-6;0.430000;8781000;82;1
5;-7;0.480000;4877000;11;0
4;-8;0.240000;4359000;39;0
7;-1;0.370000;4464000;14;0
8;-6;0.460000;7572000;47;1
5;-8;0.420000;7839000;52;0
7;-3;0.370000;8491000;79;0
6;-6;0.310000;5728000;60;0
6;-4;0.250000;7786000;71;0
3;-4;0.420000;4549000;88;0
3;-8;0.320000;5180000;28;0
7;-8;0.250000;7394000;89;0
8;-3;0.340000;5294000;70;0
4;-6;0.420000;8568000;73;0
3;-3;0.300000;4180000;38;0
7;-3;0.320000;7393000;33;0
8;-3;0.260000;7170000;55;0
7;-5;0.260000;6952000;84;0
7;-7;0.220000;7236000;49;0
7;-1;0.440000;7947000;57;0
3;-8;0.370000;7671000;78;0
6;-8;0.260000;5752000;57;0
8;-4;0.460000;8485000;42;0
8;-8;0.310000;7037000;37;0
8;-6;0.310000;8166000;80;0
5;-5;0.420000;7179000;79;0
6;-8;0.380000;7848000;66;0
3;-6;0.380000;5164000;55;0
6;-2;0.280000;8268000;75;0
4;-7;0.360000;5563000;23;0
8;-8;0.410000;5815000;27;0
7;-4;0.260000;6900000;23;0
8;-8;0.400000;4153000;18;0
3;-7;0.310000;5253000;61;0
8;-2;0.420000;4081000;49;0
7;-4;0.270000;7431000;33;0
6;-4;0.360000;6857000;39;0
7;-1;0.280000;8195000;54;0
8;-8;0.210000;5410000;75;0
3;-8;0.470000;5480000;16;0
5;-4;0.370000;8578000;36;0
3;-7;0.450000;6465000;57;0
6;-5;0.420000;6747000;22;0
4;-3;0.460000;8181000;53;0
7;-6;0.400000;7955000;34;0
5;-6;0.330000;7668000;15;0
3;-4;0.290000;5852000;42;0
4;-4;0.480000;6041000;66;0
7;-1;0.200000;4637000;57;0
4;-7;0.490000;5275000;23;0
5;-8;0.240000;5481000;54;0
5;-7;0.330000;6299000;58;0
6;-7;0.340000;5522000;14;0
4;-6;0.420000;5904000;35;0
8;-6;0.360000;8148000;56;0
5;-8;0.390000;6201000;81;1
8;-3;0.340000;4361000;28;0
4;-6;0.320000;5729000;51;0
5;-7;0.360000;4659000;81;0
7;-5;0.240000;6067000;50;0
3;-5;0.370000;8330000;44;0
6;-2;0.260000;6416000;63;0
4;-4;0.460000;4122000;48;0
3;-8;0.290000;8654000;44;0
8;-6;0.420000;8593000;49;1
3;-6;0.460000;5236000;50;0
5;-2;0.310000;6272000;46;0
7;-5;0.270000;6969000;34;0
8;-5;0.380000;5964000;32;0
4;-3;0.340000;5828000;15;0
6;-8;0.380000;6874000;24;0
8;-6;0.210000;7044000;13;0
3;-2;0.280000;6899000;10;0
6;-4;0.330000;8387000;82;0
3;-2;0.320000;8168000;70;0
6;-5;0.220000;6257000;49;0
6;-7;0.290000;5550000;14;0
4;-5;0.440000;6405000;65;0
5;-4;0.200000;8196000;82;0
6;-8;0.420000;6601000;21;0
3;-5;0.290000;5884000;12;0
3;-3;0.300000;7820000;60;0
6;-5;0.470000;6897000;66;1
4;-4;0.270000;8969000;71;0
3;-2;0.490000;5123000;62;0
3;-8;0.340000;8458000;86;0
4;-7;0.370000;4004000;30;0
5;-8;0.200000;8766000;38;0
5;-7;0.390000;8560000;40;0
5;-7;0.220000;6386000;40;0
8;-6;0.370000;6252000;36;0
3;-5;0.320000;8140000;76;0
7;-2;0.200000;8697000;55;0
3;-5;0.210000;5419000;10;0
3;-3;0.470000;5685000;83;0
7;-6;0.360000;6272000;62;0
4;-7;0.280000;5112000;77;0
3;-4;0.400000;7741000;13;0
3;-2;0.240000;4593000;38;0
6;-6;0.430000;8797000;47;0
8;-6;0.220000;7481000;45;0
4;-3;0.280000;7376000;83;0
8;-8;0.440000;8242000;54;0
4;-4;0.370000;5070000;53;0
3;-5;0.380000;4482000;20;0
4;-4;0.470000;5276000;64;0
3;-2;0.460000;5062000;12;0
8;-3;0.350000;8147000;31;0
3;-3;0.280000;6618000;25;0
5;-7;0.400000;8828000;18;0
6;-7;0.490000;4634000;22;0
5;-7;0.270000;8311000;60;0
6;-6;0.490000;4227000;80;1
5;-4;0.320000;4372000;69;0
5;-8;0.490000;8631000;86;1
8;-8;0.390000;4257000;26;0
4;-1;0.240000;7799000;62;0
8;-3;0.450000;8921000;52;0
8;-3;0.240000;7226000;69;0
